bill_id,subscriber_id,billing_month,bill_amount,payment_status,payment_date,credit_adjustment,adjustment_reason
BIL_000001,SUB_04244,2025-11-01,142.19,Partial,2025-11-08,0.0,
BIL_000002,SUB_02938,2026-01-01,91.53,Paid,2026-01-13,0.0,
BIL_000003,SUB_03841,2025-12-01,101.11,Paid,2025-12-09,0.0,
BIL_000004,SUB_04095,2025-12-01,234.65,Paid,2025-12-02,0.0,
BIL_000005,SUB_00718,2026-01-01,345.77,Overdue,,0.0,
BIL_000006,SUB_04726,2026-01-01,505.82,Paid,2026-01-03,0.0,
BIL_000007,SUB_00018,2025-12-01,274.63,Overdue,,0.0,
BIL_000008,SUB_03485,2025-11-01,223.33,Paid,2025-11-07,0.0,
BIL_000009,SUB_00845,2025-12-01,120.69,Paid,2025-12-14,0.0,
BIL_000010,SUB_02748,2026-01-01,344.08,Paid,2026-01-04,0.0,
BIL_000011,SUB_04635,2025-12-01,90.48,Overdue,,0.0,
BIL_000012,SUB_01475,2025-11-01,481.62,Paid,2025-11-16,0.0,
BIL_000013,SUB_03672,2025-11-01,154.75,Paid,2025-11-09,0.0,
BIL_000014,SUB_03454,2025-12-01,213.42,Paid,2025-12-08,0.0,
BIL_000015,SUB_04344,2025-12-01,88.16,Paid,2025-12-06,0.0,
BIL_000016,SUB_03281,2025-12-01,103.54,Paid,2025-12-04,0.0,
BIL_000017,SUB_00128,2026-01-01,170.34,Paid,2026-01-04,0.0,
BIL_000018,SUB_03273,2025-11-01,117.53,Paid,2025-11-03,0.0,
BIL_000019,SUB_01957,2025-12-01,449.18,Paid,2025-12-13,0.0,
BIL_000020,SUB_02491,2026-01-01,239.3,Paid,2026-01-08,0.0,
BIL_000021,SUB_01340,2025-11-01,300.15,Paid,2025-11-05,0.0,
BIL_000022,SUB_02998,2025-12-01,131.53,Paid,2025-12-12,0.0,
BIL_000023,SUB_01731,2025-11-01,118.74,Paid,2025-11-11,59.72,Billing Error
BIL_000024,SUB_00654,2026-01-01,163.52,Paid,2026-01-02,0.0,
BIL_000025,SUB_01123,2026-01-01,138.12,Paid,2026-01-12,0.0,
BIL_000026,SUB_00726,2025-12-01,59.34,Paid,2025-12-10,0.0,
BIL_000027,SUB_00345,2025-11-01,164.59,Paid,2025-11-07,0.0,
BIL_000028,SUB_02875,2025-11-01,51.63,Paid,2025-11-09,0.0,
BIL_000029,SUB_04120,2025-11-01,207.98,Pending,,0.0,
BIL_000030,SUB_02988,2025-12-01,547.57,Paid,2025-12-13,0.0,
BIL_000031,SUB_02311,2025-11-01,281.03,Paid,2025-11-16,0.0,
BIL_000032,SUB_04805,2026-01-01,184.71,Paid,2026-01-12,0.0,
BIL_000033,SUB_01624,2026-01-01,408.74,Paid,2026-01-10,0.0,
BIL_000034,SUB_03643,2025-11-01,87.57,Paid,2025-11-08,0.0,
BIL_000035,SUB_01109,2025-12-01,131.87,Paid,2025-12-08,0.0,
BIL_000036,SUB_03412,2026-01-01,300.96,Paid,2026-01-12,0.0,
BIL_000037,SUB_00986,2025-11-01,130.59,Paid,2025-11-09,0.0,
BIL_000038,SUB_01669,2025-11-01,141.79,Partial,2025-11-23,87.15,Complaint Resolution
BIL_000039,SUB_00286,2026-01-01,341.83,Paid,2026-01-14,0.0,
BIL_000040,SUB_01944,2025-12-01,233.68,Paid,2025-12-03,0.0,
BIL_000041,SUB_00169,2025-12-01,182.75,Overdue,,0.0,
BIL_000042,SUB_01748,2025-11-01,471.68,Paid,2025-11-04,0.0,
BIL_000043,SUB_01257,2026-01-01,129.21,Paid,2026-01-08,0.0,
BIL_000044,SUB_00232,2025-12-01,136.81,Paid,2025-12-09,0.0,
BIL_000045,SUB_01213,2025-12-01,584.72,Paid,2025-12-16,0.0,
BIL_000046,SUB_00642,2025-12-01,102.51,Paid,2025-12-09,0.0,
BIL_000047,SUB_01629,2025-12-01,224.67,Overdue,,0.0,
BIL_000048,SUB_00155,2026-01-01,352.64,Paid,2026-01-04,0.0,
BIL_000049,SUB_01366,2025-12-01,143.01,Paid,2025-12-13,0.0,
BIL_000050,SUB_04846,2026-01-01,529.07,Paid,2026-01-03,0.0,
BIL_000051,SUB_02293,2025-11-01,77.06,Paid,2025-11-05,0.0,
BIL_000052,SUB_01663,2025-11-01,121.08,Partial,2025-11-08,0.0,
BIL_000053,SUB_03114,2026-01-01,194.05,Partial,2026-01-13,0.0,
BIL_000054,SUB_03133,2026-01-01,109.43,Paid,2026-01-10,0.0,
BIL_000055,SUB_00076,2025-12-01,219.24,Paid,2025-12-08,0.0,
BIL_000056,SUB_00029,2025-11-01,166.6,Overdue,,0.0,
BIL_000057,SUB_01144,2026-01-01,424.73,Pending,,0.0,
BIL_000058,SUB_00761,2025-12-01,59.97,Paid,2025-12-16,0.0,
BIL_000059,SUB_03816,2026-01-01,157.4,Paid,2026-01-14,0.0,
BIL_000060,SUB_02513,2025-11-01,248.86,Overdue,,0.0,
BIL_000061,SUB_03568,2026-01-01,219.13,Paid,2026-01-13,0.0,
BIL_000062,SUB_03062,2026-01-01,147.83,Partial,2026-01-07,0.0,
BIL_000063,SUB_01632,2026-01-01,161.45,Paid,2026-01-12,0.0,
BIL_000064,SUB_02697,2026-01-01,159.38,Paid,2026-01-09,0.0,
BIL_000065,SUB_04588,2026-01-01,128.79,Paid,2026-01-12,0.0,
BIL_000066,SUB_04110,2026-01-01,339.52,Overdue,,0.0,
BIL_000067,SUB_03847,2026-01-01,125.81,Paid,2026-01-10,0.0,
BIL_000068,SUB_00292,2025-11-01,349.22,Paid,2025-11-11,0.0,
BIL_000069,SUB_03093,2025-12-01,104.44,Paid,2025-12-02,0.0,
BIL_000070,SUB_04919,2025-11-01,102.5,Overdue,,0.0,
BIL_000071,SUB_04833,2026-01-01,83.27,Paid,2026-01-15,21.14,Service Failure
BIL_000072,SUB_01410,2026-01-01,166.45,Partial,2026-01-21,0.0,
BIL_000073,SUB_01863,2025-12-01,174.33,Overdue,,0.0,
BIL_000074,SUB_02550,2026-01-01,143.02,Paid,2026-01-16,0.0,
BIL_000075,SUB_02905,2025-12-01,389.49,Paid,2025-12-10,0.0,
BIL_000076,SUB_01909,2025-11-01,329.39,Overdue,,0.0,
BIL_000077,SUB_01505,2025-11-01,174.6,Paid,2025-11-02,0.0,
BIL_000078,SUB_02405,2026-01-01,249.05,Paid,2026-01-12,0.0,
BIL_000079,SUB_00555,2025-12-01,243.08,Overdue,,0.0,
BIL_000080,SUB_00604,2026-01-01,187.91,Paid,2026-01-08,0.0,
BIL_000081,SUB_01423,2025-11-01,147.77,Paid,2025-11-14,0.0,
BIL_000082,SUB_03179,2025-12-01,118.67,Partial,2025-12-15,0.0,
BIL_000083,SUB_01709,2025-11-01,515.27,Paid,2025-11-10,0.0,
BIL_000084,SUB_01018,2025-12-01,164.1,Partial,2025-12-16,0.0,
BIL_000085,SUB_04678,2026-01-01,290.24,Pending,,0.0,
BIL_000086,SUB_04561,2025-12-01,141.33,Partial,2025-12-17,0.0,
BIL_000087,SUB_01845,2025-12-01,216.97,Overdue,,0.0,
BIL_000088,SUB_00643,2025-12-01,152.9,Paid,2025-12-16,0.0,
BIL_000089,SUB_00369,2026-01-01,138.05,Partial,2026-01-11,0.0,
BIL_000090,SUB_02415,2025-12-01,239.6,Paid,2025-12-13,0.0,
BIL_000091,SUB_04710,2025-12-01,482.78,Paid,2025-12-05,0.0,
BIL_000092,SUB_03831,2025-11-01,63.23,Paid,2025-11-05,0.0,
BIL_000093,SUB_03807,2026-01-01,108.92,Paid,2026-01-11,0.0,
BIL_000094,SUB_01974,2025-12-01,203.08,Paid,2025-12-13,0.0,
BIL_000095,SUB_01685,2025-12-01,97.59,Paid,2025-12-14,0.0,
BIL_000096,SUB_01240,2025-12-01,115.33,Paid,2025-12-07,0.0,
BIL_000097,SUB_04923,2026-01-01,131.9,Pending,,0.0,
BIL_000098,SUB_03954,2025-12-01,249.3,Paid,2025-12-06,0.0,
BIL_000099,SUB_00127,2025-12-01,431.54,Overdue,,0.0,
BIL_000100,SUB_03103,2025-12-01,254.49,Paid,2025-12-15,0.0,
BIL_000101,SUB_01627,2025-11-01,288.42,Overdue,,0.0,
BIL_000102,SUB_02819,2025-11-01,106.15,Paid,2025-11-15,0.0,
BIL_000103,SUB_01936,2025-12-01,258.21,Paid,2025-12-10,0.0,
BIL_000104,SUB_02114,2025-11-01,541.13,Paid,2025-11-16,0.0,
BIL_000105,SUB_02666,2026-01-01,332.6,Paid,2026-01-08,0.0,
BIL_000106,SUB_00303,2025-11-01,223.32,Paid,2025-11-02,0.0,
BIL_000107,SUB_04227,2026-01-01,137.03,Partial,2026-01-25,0.0,
BIL_000108,SUB_02212,2026-01-01,550.82,Paid,2026-01-11,0.0,
BIL_000109,SUB_04547,2026-01-01,75.0,Paid,2026-01-03,0.0,
BIL_000110,SUB_03927,2025-12-01,150.4,Paid,2025-12-08,0.0,
BIL_000111,SUB_02936,2026-01-01,197.16,Paid,2026-01-07,0.0,
BIL_000112,SUB_02470,2025-12-01,322.85,Overdue,,0.0,
BIL_000113,SUB_00593,2026-01-01,304.54,Paid,2026-01-08,0.0,
BIL_000114,SUB_03669,2026-01-01,128.45,Paid,2026-01-09,0.0,
BIL_000115,SUB_04484,2025-12-01,304.08,Paid,2025-12-04,0.0,
BIL_000116,SUB_03207,2025-12-01,372.17,Overdue,,0.0,
BIL_000117,SUB_03236,2025-12-01,127.33,Paid,2025-12-16,0.0,
BIL_000118,SUB_02096,2025-12-01,250.69,Paid,2025-12-10,0.0,
BIL_000119,SUB_03646,2025-11-01,257.3,Paid,2025-11-04,0.0,
BIL_000120,SUB_01359,2025-12-01,145.11,Paid,2025-12-13,0.0,
BIL_000121,SUB_04909,2025-12-01,197.9,Paid,2025-12-04,0.0,
BIL_000122,SUB_03098,2025-11-01,234.48,Paid,2025-11-08,0.0,
BIL_000123,SUB_03104,2025-11-01,140.89,Paid,2025-11-09,0.0,
BIL_000124,SUB_00354,2026-01-01,216.75,Paid,2026-01-06,0.0,
