ticket_id,subscriber_id,ticket_date,ticket_channel,ticket_category,priority,status,resolution_date,sla_target_hours,assigned_team
TKT_000001,SUB_02614,2025-11-12,Online Chat,Plan Change,High,Resolved,2025-11-14,48,Tier 2
TKT_000002,SUB_00742,2025-11-06,Call Center,Technical Support,Low,Resolved,2025-11-11,72,Field Ops
TKT_000003,SUB_03103,2026-01-01,Call Center,Technical Support,Low,In Progress,,48,Tier 1
TKT_000004,SUB_04696,2025-12-07,Retail Store,Network Issue,Medium,Resolved,2025-12-09,72,Tier 1
TKT_000005,SUB_01714,2025-09-17,Call Center,Technical Support,Low,In Progress,,72,Tier 3
TKT_000006,SUB_04619,2025-12-01,Call Center,Technical Support,Low,Resolved,2025-12-01,48,Field Ops
TKT_000007,SUB_03231,2025-09-13,Call Center,Network Issue,Low,Resolved,2025-09-14,24,Field Ops
TKT_000008,SUB_02788,2025-10-12,Call Center,Network Issue,Low,Open,,72,Tier 1
TKT_000009,SUB_01806,2025-12-17,Call Center,Network Issue,Low,Resolved,2025-12-20,72,Tier 1
TKT_000010,SUB_00124,2025-09-27,Retail Store,Complaint,Low,Open,,24,Tier 2
TKT_000011,SUB_01412,2025-11-12,Online Chat,Plan Change,High,In Progress,,24,Field Ops
TKT_000012,SUB_00116,2025-12-01,Call Center,Technical Support,Medium,Open,,48,Tier 3
TKT_000013,SUB_00795,2025-11-20,App,Technical Support,Low,In Progress,,24,Tier 3
TKT_000014,SUB_03270,2025-12-22,App,Billing Query,High,Resolved,2025-12-24,72,Tier 2
TKT_000015,SUB_01833,2025-10-27,App,Technical Support,Low,Resolved,2025-10-27,48,Tier 1
TKT_000016,SUB_01956,2025-10-25,App,Complaint,Low,In Progress,,24,Tier 1
TKT_000017,SUB_02159,2025-10-08,Call Center,Network Issue,Medium,Resolved,2025-10-08,24,Tier 1
TKT_000018,SUB_00855,2025-10-25,App,Billing Query,Medium,Resolved,2025-10-25,48,Tier 3
TKT_000019,SUB_03377,2025-09-27,Online Chat,Network Issue,Medium,Resolved,2025-09-28,24,Tier 3
TKT_000020,SUB_00081,2025-09-22,Call Center,Network Issue,Low,Resolved,2025-09-22,48,Field Ops
TKT_000021,SUB_02953,2025-11-24,App,Plan Change,High,Resolved,2025-11-24,24,Tier 3
TKT_000022,SUB_00277,2026-01-03,Online Chat,Billing Query,Medium,Resolved,2026-01-04,48,Tier 3
TKT_000023,SUB_00058,2025-12-06,Call Center,Plan Change,Medium,In Progress,,24,Tier 1
TKT_000024,SUB_04501,2025-12-23,Call Center,Technical Support,Medium,Resolved,2025-12-24,48,Tier 3
TKT_000025,SUB_04935,2025-09-20,Online Chat,Technical Support,Low,In Progress,,72,Tier 2
TKT_000026,SUB_01063,2025-10-20,Call Center,Billing Query,Medium,In Progress,,72,Tier 2
TKT_000027,SUB_04601,2025-10-28,App,Network Issue,Medium,Resolved,2025-10-28,24,Field Ops
TKT_000028,SUB_03751,2025-12-06,App,Network Issue,High,Escalated,2025-12-06,24,Tier 3
TKT_000029,SUB_03238,2025-09-13,App,Network Issue,Low,Resolved,2025-09-13,72,Tier 2
TKT_000030,SUB_00997,2025-11-02,Online Chat,Network Issue,Low,Resolved,2025-11-04,48,Field Ops
TKT_000031,SUB_02084,2025-11-16,Call Center,Complaint,Low,Resolved,2025-11-19,48,Tier 1
TKT_000032,SUB_01853,2025-11-07,Call Center,Network Issue,Medium,Resolved,2025-11-07,48,Tier 1
TKT_000033,SUB_01059,2025-09-15,App,Technical Support,Medium,Resolved,2025-09-16,24,Field Ops
TKT_000034,SUB_01003,2026-01-03,Online Chat,Network Issue,High,Resolved,2026-01-07,72,Field Ops
TKT_000035,SUB_00322,2025-12-13,App,Network Issue,High,Resolved,2025-12-13,24,Tier 3
TKT_000036,SUB_00475,2025-12-25,Call Center,Technical Support,Low,Resolved,2025-12-27,72,Tier 1
TKT_000037,SUB_02086,2025-11-30,Online Chat,Plan Change,Low,Resolved,2025-12-01,24,Tier 1
TKT_000038,SUB_02466,2025-12-29,Online Chat,Billing Query,Medium,Resolved,2025-12-30,24,Field Ops
TKT_000039,SUB_00964,2025-12-29,App,Complaint,Medium,Escalated,2025-12-29,24,Tier 2
TKT_000040,SUB_03851,2025-12-01,Online Chat,Network Issue,Low,Resolved,2025-12-04,72,Tier 2
TKT_000041,SUB_02446,2025-10-05,Online Chat,Billing Query,Low,Escalated,2025-10-07,72,Tier 1
TKT_000042,SUB_00225,2025-09-10,App,Billing Query,Low,Resolved,2025-09-13,72,Tier 3
TKT_000043,SUB_01049,2025-12-11,Retail Store,Billing Query,Low,Open,,72,Field Ops
TKT_000044,SUB_01072,2025-12-05,App,Plan Change,Medium,Resolved,2025-12-10,72,Field Ops
TKT_000045,SUB_01929,2025-10-21,Online Chat,Network Issue,Medium,Resolved,2025-10-24,48,Tier 3
TKT_000046,SUB_04352,2025-11-28,Call Center,Network Issue,Medium,Resolved,2025-11-28,24,Tier 1
TKT_000047,SUB_01689,2025-10-11,App,Technical Support,High,Resolved,2025-10-14,48,Tier 1
TKT_000048,SUB_03706,2025-10-02,Call Center,Complaint,Medium,Open,,72,Tier 2
TKT_000049,SUB_00301,2025-11-20,Call Center,Technical Support,High,Resolved,2025-11-22,72,Tier 2
TKT_000050,SUB_03257,2025-11-04,Call Center,Billing Query,Medium,Resolved,2025-11-06,72,Tier 1
TKT_000051,SUB_00226,2025-09-21,Call Center,Network Issue,Low,Resolved,2025-09-22,48,Tier 3
TKT_000052,SUB_02086,2025-12-15,Call Center,Network Issue,Low,Escalated,2025-12-15,72,Tier 2
TKT_000053,SUB_00925,2025-11-05,Retail Store,Network Issue,Low,Open,,72,Field Ops
TKT_000054,SUB_04078,2025-09-21,Call Center,Network Issue,Medium,Resolved,2025-09-26,72,Tier 3
TKT_000055,SUB_04542,2025-12-20,Retail Store,Network Issue,Medium,Resolved,2025-12-21,72,Field Ops
TKT_000056,SUB_03695,2025-12-25,App,Network Issue,Low,Resolved,2025-12-26,72,Field Ops
TKT_000057,SUB_02840,2025-10-23,App,Billing Query,Medium,Open,,24,Tier 1
TKT_000058,SUB_00263,2026-01-03,Online Chat,Network Issue,Critical,Resolved,2026-01-08,72,Tier 2
TKT_000059,SUB_02144,2025-12-29,Online Chat,Plan Change,Low,Resolved,2025-12-29,48,Field Ops
TKT_000060,SUB_00732,2025-10-10,App,Network Issue,Low,Resolved,2025-10-11,48,Tier 1
TKT_000061,SUB_03245,2025-11-26,App,Network Issue,Medium,Resolved,2025-11-29,48,Tier 1
TKT_000062,SUB_03517,2025-11-18,Call Center,Billing Query,Medium,Open,,48,Tier 3
