usage_id,subscriber_id,usage_date,data_usage_gb,voice_minutes,sms_count,roaming_charges,addon_charges
USG_000001,SUB_03182,2025-11-24,6.27,230,223,0.0,87.57
USG_000002,SUB_01325,2026-01-01,1.6,271,155,60.03,0.0
USG_000003,SUB_01554,2025-10-20,3.45,258,251,0.0,0.0
USG_000004,SUB_04854,2025-11-13,1.91,279,247,0.0,0.0
USG_000005,SUB_02798,2025-09-15,3.81,357,39,39.99,0.0
USG_000006,SUB_03574,2025-10-28,1.56,294,274,193.71,0.0
USG_000007,SUB_03136,2025-11-11,3.76,137,290,0.0,0.0
USG_000008,SUB_02327,2025-09-07,4.08,411,61,0.0,0.0
USG_000009,SUB_01357,2025-10-30,1.73,3,50,0.0,0.0
USG_000010,SUB_03076,2025-12-09,3.9,486,142,0.0,0.0
USG_000011,SUB_03841,2025-10-18,1.68,454,252,0.0,17.21
USG_000012,SUB_04541,2025-11-01,3.38,266,212,171.17,0.0
USG_000013,SUB_00560,2025-10-22,1.73,130,166,0.0,0.0
USG_000014,SUB_02467,2025-12-26,3.35,262,241,0.99,0.0
USG_000015,SUB_01949,2025-10-02,7.08,218,8,0.0,0.0
USG_000016,SUB_03072,2025-12-21,4.29,32,231,0.0,0.0
USG_000017,SUB_01879,2025-09-12,9.46,479,137,0.0,0.0
USG_000018,SUB_03953,2025-09-14,3.52,313,273,0.0,77.69
USG_000019,SUB_02679,2025-12-11,2.0,296,6,0.0,0.0
USG_000020,SUB_00648,2025-12-21,6.46,444,294,26.99,0.0
USG_000021,SUB_01469,2025-11-17,3.0,199,138,0.0,0.0
USG_000022,SUB_00416,2025-11-05,0.87,193,251,0.0,0.0
USG_000023,SUB_00141,2025-11-19,2.27,488,114,0.0,0.0
USG_000024,SUB_03253,2025-11-20,29.6,23,71,0.0,0.0
USG_000025,SUB_01628,2025-12-07,5.58,333,22,193.89,0.0
USG_000026,SUB_01351,2025-10-19,4.82,445,8,0.0,0.0
USG_000027,SUB_01477,2025-09-12,1.9,225,235,0.0,0.0
USG_000028,SUB_04440,2025-10-23,2.08,262,217,0.0,68.67
USG_000029,SUB_01529,2025-10-02,30.26,163,266,139.27,0.0
USG_000030,SUB_02665,2025-09-20,5.03,331,112,0.0,3.11
USG_000031,SUB_03480,2025-12-08,5.67,387,143,0.0,0.0
USG_000032,SUB_04644,2025-10-14,9.43,434,227,0.0,0.0
USG_000033,SUB_03879,2025-09-30,8.16,494,44,0.0,52.96
USG_000034,SUB_00876,2025-11-05,4.79,398,75,164.67,0.0
USG_000035,SUB_03014,2025-10-30,6.79,11,215,47.11,0.0
USG_000036,SUB_01392,2025-10-05,5.69,319,257,5.39,0.0
USG_000037,SUB_01651,2025-10-06,3.57,28,18,0.0,0.0
USG_000038,SUB_04122,2025-10-17,9.88,229,28,0.0,0.0
USG_000039,SUB_04493,2025-11-03,6.52,36,227,0.0,0.0
USG_000040,SUB_01957,2025-11-21,94.8,449,278,0.0,0.0
USG_000041,SUB_04363,2025-12-11,1.98,180,298,0.0,0.0
USG_000042,SUB_00567,2025-11-17,5.35,311,199,0.0,0.0
USG_000043,SUB_02027,2025-11-10,2.31,210,105,0.0,95.95
USG_000044,SUB_04627,2025-10-28,2.1,204,55,0.0,78.64
USG_000045,SUB_00277,2025-11-26,28.04,280,279,0.0,64.7
USG_000046,SUB_03735,2025-12-24,11.01,261,68,5.31,0.0
USG_000047,SUB_00069,2026-01-02,2.79,435,18,9.42,0.0
USG_000048,SUB_02116,2025-11-07,11.4,73,198,0.0,22.39
USG_000049,SUB_04949,2025-11-30,12.77,155,232,48.52,0.0
USG_000050,SUB_04049,2025-11-08,2.76,211,265,0.0,99.65
USG_000051,SUB_01849,2025-10-20,3.12,409,249,0.0,0.0
USG_000052,SUB_01648,2025-12-23,2.53,174,21,0.0,0.0
USG_000053,SUB_04236,2025-12-02,10.65,329,47,0.0,0.0
USG_000054,SUB_02149,2025-11-12,0.78,134,22,0.0,53.74
USG_000055,SUB_01007,2025-09-16,3.08,247,26,0.0,0.0
USG_000056,SUB_01465,2026-01-04,1.54,165,25,0.0,0.0
USG_000057,SUB_04278,2025-09-21,1.71,419,273,0.0,0.0
USG_000058,SUB_04217,2025-12-28,17.09,275,27,28.42,0.0
USG_000059,SUB_02914,2025-12-18,7.54,218,262,0.0,0.0
USG_000060,SUB_04568,2025-11-19,7.15,395,216,0.0,0.0
USG_000061,SUB_02872,2025-12-20,1.41,480,68,0.0,0.0
USG_000062,SUB_04831,2025-11-10,24.31,181,298,73.21,0.0
USG_000063,SUB_01541,2025-11-22,6.0,260,201,154.8,0.0
USG_000064,SUB_00371,2025-09-24,4.94,286,188,132.38,0.0
USG_000065,SUB_02188,2025-10-06,2.74,437,190,0.0,0.0
USG_000066,SUB_02444,2025-11-14,2.43,199,12,182.08,0.0
USG_000067,SUB_03710,2025-12-24,4.25,90,62,0.0,0.0
USG_000068,SUB_03445,2025-11-15,3.24,321,249,0.0,92.91
USG_000069,SUB_01103,2025-10-31,1.74,48,207,0.0,0.0
USG_000070,SUB_02766,2025-12-30,6.52,455,29,0.0,0.0
USG_000071,SUB_01965,2025-12-04,4.34,13,65,0.0,0.0
USG_000072,SUB_01207,2025-11-14,3.04,123,103,0.0,0.0
USG_000073,SUB_01457,2025-10-31,6.0,196,95,0.0,41.56
USG_000074,SUB_04363,2025-11-04,14.11,487,39,0.0,74.66
USG_000075,SUB_02319,2025-10-12,7.66,357,112,0.0,0.0
USG_000076,SUB_00388,2025-09-16,8.96,224,216,0.0,48.82
USG_000077,SUB_00160,2025-09-19,4.2,36,167,0.0,0.0
USG_000078,SUB_03886,2025-09-22,2.43,439,179,0.0,0.0
USG_000079,SUB_03808,2026-01-01,0.89,71,192,22.01,0.0
USG_000080,SUB_04734,2025-12-12,2.33,290,299,0.0,0.0
USG_000081,SUB_03683,2025-12-30,5.65,298,80,0.0,0.0
USG_000082,SUB_04224,2025-10-25,8.61,47,152,0.0,0.0
USG_000083,SUB_03125,2025-09-07,3.52,369,106,156.36,0.0
USG_000084,SUB_02784,2026-01-03,33.55,204,246,0.0,0.0
USG_000085,SUB_02207,2025-11-19,2.82,129,184,0.0,0.0
USG_000086,SUB_00812,2025-10-24,6.44,424,101,0.0,0.0
USG_000087,SUB_02509,2025-12-05,9.15,264,238,0.0,0.0
USG_000088,SUB_00617,2025-09-24,1.68,124,225,0.0,0.0
USG_000089,SUB_00918,2025-11-11,1.12,411,191,0.0,0.0
USG_000090,SUB_04643,2025-10-08,2.19,43,166,0.0,0.0
USG_000091,SUB_02208,2025-11-01,4.29,323,53,2.96,0.0
USG_000092,SUB_00753,2025-11-16,4.21,343,207,0.0,0.0
USG_000093,SUB_02902,2025-09-23,2.93,27,208,0.0,0.0
USG_000094,SUB_00023,2025-09-25,5.96,414,36,0.0,0.0
USG_000095,SUB_01898,2025-09-08,3.9,99,27,0.0,0.0
USG_000096,SUB_03236,2025-11-28,6.65,356,9,0.0,13.81
USG_000097,SUB_02782,2025-12-10,2.05,78,13,0.0,0.0
USG_000098,SUB_00993,2025-10-17,1.9,301,289,0.0,0.0
USG_000099,SUB_03868,2025-10-31,8.84,378,265,0.0,0.0
USG_000100,SUB_01317,2025-10-12,0.99,24,190,0.0,0.0
USG_000101,SUB_00925,2025-11-30,17.35,435,38,0.0,0.0
USG_000102,SUB_02954,2025-10-03,2.94,116,89,0.0,0.0
USG_000103,SUB_01119,2025-12-17,2.67,306,130,0.0,67.93
USG_000104,SUB_03217,2025-09-23,2.78,204,152,0.0,0.0
USG_000105,SUB_04263,2025-10-31,7.29,298,262,0.0,0.0
USG_000106,SUB_01677,2025-12-11,10.2,384,232,0.0,0.0
USG_000107,SUB_02336,2025-10-12,7.34,320,184,0.0,0.0
USG_000108,SUB_02238,2025-10-22,2.51,171,90,196.37,0.0
USG_000109,SUB_03209,2025-11-18,8.59,391,199,73.95,0.0
USG_000110,SUB_04945,2025-09-14,5.94,153,53,0.0,0.0
USG_000111,SUB_03568,2025-10-05,6.19,449,226,0.0,92.38
USG_000112,SUB_03794,2025-11-01,11.08,173,106,0.0,0.0
USG_000113,SUB_03922,2025-09-23,11.48,382,127,0.0,0.0
USG_000114,SUB_03745,2025-11-09,1.59,80,234,139.57,0.0
USG_000115,SUB_01902,2025-12-11,54.61,165,138,0.0,0.0
USG_000116,SUB_03950,2025-11-16,1.75,126,295,0.0,0.0
USG_000117,SUB_03789,2025-12-09,4.83,240,121,0.0,0.0
USG_000118,SUB_00748,2025-10-30,7.22,51,201,103.05,0.0
USG_000119,SUB_04453,2025-09-18,9.97,194,30,0.0,0.0
USG_000120,SUB_00041,2025-09-19,2.01,417,246,180.77,0.0
USG_000121,SUB_01351,2025-10-26,9.46,60,67,195.81,0.0
USG_000122,SUB_01902,2025-11-21,24.44,226,203,0.0,0.0
USG_000123,SUB_01389,2025-12-11,8.47,84,198,59.31,0.0
USG_000124,SUB_01981,2026-01-02,13.17,235,71,0.0,0.0
USG_000125,SUB_02896,2025-09-08,0.54,40,56,0.0,0.0
USG_000126,SUB_03701,2025-12-07,2.64,317,209,0.0,0.0
USG_000127,SUB_03957,2025-12-03,8.92,168,112,0.0,0.0
USG_000128,SUB_03756,2025-09-20,5.0,397,126,0.0,0.0
USG_000129,SUB_00332,2025-12-13,6.91,118,139,43.09,41.93
USG_000130,SUB_04657,2025-11-30,0.99,144,23,109.1,0.0
USG_000131,SUB_00859,2025-12-09,3.57,19,37,181.74,0.0
USG_000132,SUB_03856,2025-09-08,10.55,42,12,0.0,0.0
USG_000133,SUB_01554,2025-12-30,9.18,436,213,80.84,0.0
USG_000134,SUB_00324,2025-12-11,5.4,73,62,153.94,0.0
USG_000135,SUB_03178,2025-10-15,8.64,30,107,0.0,0.0
USG_000136,SUB_00596,2025-12-05,0.65,49,248,185.63,0.0
USG_000137,SUB_03689,2025-09-14,1.45,104,69,0.0,0.0
USG_000138,SUB_02983,2026-01-03,17.25,411,45,0.0,0.0
USG_000139,SUB_04433,2025-12-24,5.84,465,248,15.02,21.31
USG_000140,SUB_04198,2025-11-06,9.57,194,150,37.5,0.0
USG_000141,SUB_00776,2025-09-11,14.09,314,56,0.0,0.0
USG_000142,SUB_02763,2025-09-28,2.99,178,145,15.23,0.0
USG_000143,SUB_03238,2025-10-04,3.03,339,221,37.11,0.0
USG_000144,SUB_02434,2025-12-20,3.47,165,89,0.0,0.0
USG_000145,SUB_03008,2025-12-30,3.11,414,33,93.31,0.0
USG_000146,SUB_02658,2025-11-12,6.63,218,199,0.0,0.0
USG_000147,SUB_02132,2025-09-14,3.01,480,205,0.0,0.0
USG_000148,SUB_04890,2025-10-14,1.35,44,233,0.0,0.0
USG_000149,SUB_03491,2025-10-28,3.5,447,4,0.0,0.0
USG_000150,SUB_00806,2025-10-14,18.61,140,56,1.02,0.0
USG_000151,SUB_04930,2025-11-28,13.2,92,133,0.0,0.0
USG_000152,SUB_04289,2025-12-15,9.27,306,30,0.0,80.42
USG_000153,SUB_00969,2025-11-08,2.5,241,208,0.0,0.0
USG_000154,SUB_01071,2025-09-22,1.67,82,71,0.0,0.0
USG_000155,SUB_01745,2025-09-29,4.99,274,142,0.0,52.6
USG_000156,SUB_03456,2025-11-23,5.35,0,139,0.0,0.0
USG_000157,SUB_02573,2025-11-03,5.28,190,52,0.0,34.7
USG_000158,SUB_00292,2025-12-21,1.23,303,67,1.53,28.93
USG_000159,SUB_03471,2025-11-08,4.86,388,237,0.0,0.0
USG_000160,SUB_00171,2025-12-24,2.08,443,168,0.0,0.0
USG_000161,SUB_03214,2025-12-27,23.72,261,48,52.53,0.0
USG_000162,SUB_03942,2025-12-18,3.54,321,65,0.0,0.0
USG_000163,SUB_04936,2025-12-02,5.45,11,197,0.0,0.0
USG_000164,SUB_00247,2025-12-02,5.11,74,49,0.0,0.0
USG_000165,SUB_04285,2025-10-09,9.39,294,7,0.0,0.0
USG_000166,SUB_03122,2025-10-21,5.38,393,10,0.0,0.0
